,"homem","homem","homem","homem","homem","homem","mulher","mulher","mulher","mulher","mulher","mulher"
"geocodigo",0,20,30,40,50,60,0,20,30,40,50,60
"geocodigo","0/homem","20/homem","30/homem","40/homem","50/homem","60/homem","0/mulher","20/mulher","30/mulher","40/mulher","50/mulher","60/mulher"
1100015,"2,7","28,6","9,9","5,7","2,2","1,0","12,8","22,4","7,9","4,7","2,0","0,2"
1100023,"2,3","20,9","13,7","7,6","3,8","1,7","7,3","22,7","11,6","5,5","2,1","0,8"
1100031,"0,0","20,5","15,9","6,8","4,5","2,3","11,4","19,3","9,1","8,0","1,1","1,1"
1100049,"3,0","23,6","12,5","5,7","3,1","2,1","10,3","20,7","11,8","4,2","2,2","0,8"
1100056,"2,2","24,2","13,5","5,7","3,5","0,9","10,1","22,6","10,4","4,7","1,3","0,9"
1100064,"3,6","21,7","12,9","6,3","4,1","1,4","12,1","23,6","8,5","4,1","1,1","0,5"
1100072,"1,0","24,5","16,3","5,1","1,0","2,0","14,3","23,5","8,2","3,1","1,0","0,0"
1100080,"1,5","24,6","12,3","6,2","3,8","1,5","11,5","20,8","8,5","6,2","2,3","0,8"
1100098,"3,1","23,0","13,7","6,0","2,9","1,2","12,4","18,5","11,8","5,2","1,0","1,0"
1100106,"2,0","16,5","13,5","8,8","7,0","2,3","4,8","20,3","14,8","6,5","3,3","0,5"
1100114,"3,1","24,0","11,5","5,9","3,0","2,6","12,7","19,3","10,4","4,7","1,7","1,2"
1100122,"2,2","21,0","14,4","6,1","3,6","2,7","8,2","20,3","11,3","6,4","2,6","1,1"
1100130,"1,1","21,6","16,0","6,1","3,0","2,2","12,1","16,9","12,5","5,8","2,4","0,3"
1100148,"3,7","23,8","9,8","5,3","3,7","3,7","14,3","18,0","11,1","2,9","2,9","0,8"
1100155,"1,9","22,0","14,6","6,3","3,5","1,7","8,6","21,4","12,0","5,4","2,2","0,4"
1100189,"6,0","25,8","10,6","4,4","2,4","0,8","14,8","21,1","8,9","4,9","0,2","0,2"
1100205,"1,3","19,9","16,0","7,4","3,7","1,7","5,6","21,4","13,7","6,4","2,3","0,7"
1100254,"4,1","26,7","9,7","5,3","1,9","2,2","10,4","23,6","9,4","3,5","1,9","1,3"
1100262,"3,7","15,7","15,7","7,4","4,6","2,8","11,1","17,6","8,3","10,2","2,8","0,0"
1100288,"2,5","22,4","13,1","6,9","2,0","3,1","9,8","22,4","9,7","5,1","2,3","0,7"
1100296,"3,2","25,6","15,4","3,8","0,6","1,3","9,6","26,9","7,7","3,8","1,3","0,6"
1100304,"1,4","20,9","14,3","7,0","3,9","2,6","7,2","21,3","12,1","5,7","2,2","1,4"
1100320,"3,6","21,9","14,1","6,0","3,3","1,2","11,1","22,8","10,5","2,7","2,4","0,6"
1100338,"1,7","22,2","13,2","7,6","3,3","2,0","11,6","18,9","12,3","4,6","2,0","0,7"
1100346,"4,4","23,1","11,9","5,0","3,8","1,9","11,9","24,4","6,9","3,8","3,1","0,0"
1100379,"3,8","23,1","11,8","5,7","2,8","2,8","18,9","15,6","7,1","4,2","3,3","0,9"
1100403,"2,3","18,9","13,6","6,1","6,8","2,3","11,4","18,6","9,8","5,3","3,4","1,5"
1100452,"2,7","23,7","13,1","5,9","3,2","1,4","15,6","18,1","9,7","3,9","1,6","1,2"
1100502,"2,5","24,6","7,4","6,6","3,3","5,7","15,6","15,6","8,2","5,7","0,8","4,1"
1100601,"0,0","28,1","9,4","9,4","2,1","1,0","11,5","22,9","8,3","3,1","3,1","1,0"
1100700,"5,0","25,0","11,7","2,5","4,2","1,7","18,3","14,2","9,2","5,8","0,8","1,7"
1100809,"5,5","17,7","13,5","6,1","4,5","2,6","11,6","16,8","11,3","5,5","2,9","1,9"
1100908,"2,5","20,0","12,5","10,0","2,5","2,5","12,5","17,5","15,0","2,5","0,0","2,5"
1100924,"3,1","19,1","21,0","4,3","1,9","0,6","12,3","19,8","8,6","6,8","1,9","0,6"
1100940,"1,9","16,4","16,8","9,0","3,7","2,2","8,6","17,2","16,0","5,2","2,6","0,4"
1101005,"5,1","25,4","10,2","2,5","4,2","2,5","17,8","19,5","5,9","3,4","0,8","2,5"
1101104,"1,4","15,5","15,5","10,8","4,7","2,0","7,4","15,5","17,6","6,8","0,7","2,0"
1101203,"3,0","27,6","9,0","7,5","0,7","2,2","15,7","18,7","10,4","3,0","1,5","0,7"
1101302,"2,2","26,9","12,6","5,5","2,2","0,5","12,1","24,2","7,1","6,0","0,0","0,5"
1101401,"6,9","27,0","5,4","6,9","2,9","1,0","20,1","19,6","6,4","2,5","1,5","0,0"
1101435,"3,1","22,7","9,4","8,6","3,9","2,3","14,1","21,9","4,7","6,3","1,6","1,6"
1101450,"1,7","28,3","8,3","6,7","5,0","0,0","13,3","18,3","11,7","5,0","1,7","0,0"
1101468,"0,0","0,0","37,5","0,0","0,0","12,5","0,0","12,5","12,5","12,5","0,0","12,5"
1101476,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
1101484,"3,7","32,9","8,5","3,7","1,2","0,0","18,3","22,0","6,1","1,2","2,4","0,0"
1101492,"2,3","24,0","13,6","4,7","2,7","2,7","14,0","19,0","9,7","4,7","0,8","1,9"
1101500,"4,2","23,8","12,5","6,0","3,0","0,6","17,3","17,9","7,1","6,0","1,8","0,0"
1101559,"3,4","20,5","15,9","2,3","5,7","2,3","9,1","25,0","9,1","3,4","3,4","0,0"
1101609,"1,7","19,7","13,5","6,7","3,4","5,1","14,0","12,9","12,4","5,6","3,4","1,7"
1101708,"2,9","24,3","15,0","4,9","1,9","1,0","15,0","17,0","13,1","3,9","1,0","0,0"
1101757,"2,2","15,2","15,2","6,5","6,5","4,3","8,7","17,4","8,7","6,5","4,3","4,3"
1101807,"3,2","27,4","8,1","5,6","4,0","1,6","18,5","14,5","8,1","4,8","3,2","0,8"
1200013,"0,9","19,4","15,6","8,1","2,3","3,8","9,0","18,5","13,9","5,2","2,0","1,4"
1200054,"1,0","29,4","14,7","1,0","3,9","0,0","12,7","14,7","15,7","5,9","1,0","0,0"
1200104,"2,1","21,9","13,6","7,0","3,3","2,1","9,9","21,5","10,7","5,4","1,7","0,8"
1200138,"0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0"
1200179,"1,8","20,2","17,5","7,0","3,5","0,0","12,3","21,1","10,5","1,8","3,5","0,9"
1200203,"0,7","18,9","18,3","7,4","2,9","1,8","4,4","22,5","14,7","5,9","1,7","0,9"
1200252,"3,1","24,2","10,9","5,5","5,5","0,8","7,0","21,9","9,4","9,4","1,6","0,8"
1200302,"3,1","22,0","12,8","7,9","1,8","2,2","7,0","22,0","12,3","6,2","1,3","1,3"
1200328,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
1200336,"1,4","19,3","15,7","5,7","3,6","4,3","9,3","17,9","12,9","7,1","1,4","1,4"
1200344,"1,2","14,6","17,1","8,5","3,7","4,9","7,3","11,0","15,9","11,0","4,9","0,0"
1200351,"1,2","20,2","21,4","2,4","4,8","0,0","9,5","19,0","16,7","4,8","0,0","0,0"
1200385,"1,3","17,2","14,5","7,8","6,2","3,0","7,5","15,6","13,7","9,7","2,4","1,1"
1200393,"1,5","13,2","13,2","16,2","4,4","1,5","5,9","7,4","19,1","13,2","4,4","0,0"
1200401,"1,5","21,5","16,3","6,8","2,5","1,4","5,4","23,2","13,9","5,5","1,5","0,4"
1200427,"2,9","19,6","11,8","5,9","6,9","2,9","3,9","19,6","16,7","6,9","2,0","1,0"
1200435,"0,0","36,4","13,6","0,0","0,0","0,0","4,5","27,3","13,6","4,5","0,0","0,0"
1200450,"1,5","21,6","14,1","6,7","5,0","1,2","4,5","24,1","12,9","6,2","2,0","0,2"
1200500,"1,0","19,7","16,9","7,8","2,8","1,7","7,0","19,7","14,3","6,4","1,6","1,0"
1200609,"1,4","18,4","14,5","9,4","4,4","1,8","5,3","20,6","15,6","5,1","3,0","0,4"
1200708,"1,8","14,9","18,5","8,3","5,4","1,2","5,4","19,6","16,1","6,0","2,4","0,6"
1200807,"1,6","15,1","12,7","12,7","5,6","2,4","10,3","15,1","13,1","7,1","2,8","1,6"
1300029,"1,0","18,8","17,7","9,4","1,0","2,1","2,1","27,1","14,6","3,1","1,0","2,1"
1300060,"4,2","15,3","9,7","13,9","5,6","1,4","2,8","20,8","15,3","5,6","5,6","0,0"
1300086,"0,0","35,0","15,0","0,0","0,0","0,0","10,0","20,0","15,0","5,0","0,0","0,0"
1300102,"2,7","10,9","19,1","8,2","8,2","0,9","4,5","13,6","16,4","10,0","3,6","1,8"
1300144,"4,7","17,4","9,3","8,1","5,8","4,7","11,6","15,1","11,6","7,0","4,7","0,0"
1300201,"2,4","19,0","14,3","9,5","2,4","2,4","0,0","21,4","19,0","7,1","0,0","2,4"
1300300,"1,8","18,3","16,2","6,1","4,3","3,4","5,2","20,7","11,9","7,9","2,4","1,8"
1300409,"0,7","11,8","13,9","13,2","8,3","2,1","3,5","13,9","13,9","11,8","4,2","2,8"
1300508,"1,6","23,0","13,5","6,3","4,0","1,6","4,8","26,2","8,7","4,0","4,8","1,6"
1300607,"2,1","15,8","17,1","6,2","5,5","3,4","3,4","18,5","13,7","8,9","3,4","2,1"
1300631,"1,0","14,3","24,5","8,2","1,0","1,0","5,1","28,6","13,3","1,0","1,0","1,0"
1300680,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
1300706,"1,6","26,6","9,4","6,3","6,3","0,0","6,3","17,2","14,1","7,8","4,7","0,0"
1300805,"3,1","17,7","17,7","5,4","3,8","2,3","10,8","17,7","12,3","3,1","5,4","0,8"
1300839,"0,0","21,4","7,1","3,6","7,1","10,7","10,7","14,3","7,1","3,6","7,1","7,1"
1300904,"0,0","25,8","15,2","7,6","0,0","1,5","7,6","22,7","15,2","3,0","1,5","0,0"
1301001,"1,9","16,2","19,2","6,8","3,8","2,3","3,4","21,4","17,7","6,0","1,5","0,0"
1301100,"2,3","14,8","18,1","5,4","4,0","5,4","6,7","19,8","12,4","4,0","4,4","2,7"
1301159,"1,7","20,3","17,8","5,9","3,4","0,8","8,5","21,2","14,0","3,8","1,3","1,3"
1301209,"3,4","20,2","15,2","7,3","2,1","1,8","7,5","21,6","13,0","5,9","1,6","0,4"
1301308,"2,1","24,0","14,6","4,2","4,2","1,0","6,3","25,0","14,6","3,1","1,0","0,0"
1301407,"0,0","19,7","17,4","10,6","2,3","0,0","3,0","22,0","17,4","6,1","1,5","0,0"
1301506,"0,0","12,2","22,2","11,1","2,2","2,2","1,1","7,8","30,0","6,7","3,3","1,1"
1301605,"1,0","11,5","14,4","19,2","1,0","2,9","1,0","19,2","20,2","4,8","2,9","1,9"
1301654,"0,0","13,9","16,3","7,9","7,9","4,0","3,0","16,3","13,9","8,9","6,4","1,5"
1301704,"1,3","16,3","12,9","10,0","8,3","1,3","3,8","18,8","15,8","8,3","2,9","0,4"
1301803,"0,0","25,0","9,4","6,3","9,4","0,0","3,1","18,8","15,6","9,4","3,1","0,0"
1301852,"5,0","23,8","15,0","2,5","1,3","2,5","11,3","16,3","17,5","1,3","2,5","1,3"
1301902,"1,8","19,3","16,4","7,4","2,8","2,3","6,1","21,0","12,6","7,1","2,2","0,9"
1301951,"0,0","28,6","0,0","14,3","7,1","0,0","0,0","14,3","21,4","7,1","7,1","0,0"
1302009,"1,4","13,9","22,2","9,7","1,4","1,4","8,3","13,9","15,3","8,3","4,2","0,0"
1302108,"50,0","0,0","0,0","0,0","0,0","0,0","0,0","50,0","0,0","0,0","0,0","0,0"
1302207,"3,8","18,8","11,3","12,5","1,3","2,5","5,0","22,5","12,5","5,0","2,5","2,5"
1302306,"4,1","17,3","10,2","14,3","4,1","0,0","4,1","24,5","7,1","10,2","4,1","0,0"
1302405,"2,4","17,7","18,5","4,8","3,2","3,2","8,9","21,0","12,9","2,4","4,0","0,8"
1302504,"1,2","20,5","16,0","7,6","3,1","1,6","7,4","20,4","14,1","5,0","2,1","1,0"
1302553,"1,2","26,2","13,1","6,0","2,4","1,2","13,1","20,2","9,5","3,6","2,4","1,2"
