geocodigo	municipio	não alfabetizado	fundamental incompleto	fundamental completo	médio incompleto	médio completo	superior incompleto	superior completo	pós-graduação	total	nao_alfabetizado	fundamental_incompleto	fundamental_completo	medio_incompleto	medio_completo	superior_incompleto	superior_completo	pos_graduacao
5300108	Brasília - DF	1964	84078	204717	71372	519120	52529	349106	12319	1295205	71,5	6,5	15,8	5,5	40,1	4,1	27	1
5222302	Vila Propício - GO	6	200	91	119	207	25	58	0	706	0,2	28,3	12,9	16,9	29,3	3,5	8,2	0
5222203	Vila Boa - GO	38	235	225	39	220	15	93	0	865	1,4	27,2	26	4,5	25,4	1,7	10,8	0
5222054	Vicentinópolis - GO	9	607	183	247	294	92	63	0	1495	0,3	40,6	12,2	16,5	19,7	6,2	4,2	0
5222005	Vianópolis - GO	4	463	273	205	526	84	219	1	1775	0,1	26,1	15,4	11,5	29,6	4,7	12,3	0,1
5221908	Varjão - GO	0	135	56	48	114	16	27	1	397	0	34	14,1	12,1	28,7	4	6,8	0,3
5221858	Valparaíso de Goiás - GO	37	1392	1524	1375	8388	590	1371	146	14823	1,3	9,4	10,3	9,3	56,6	4	9,2	1
5221809	Urutaí - GO	3	70	25	17	188	16	242	9	570	0,1	12,3	4,4	3	33	2,8	42,5	1,6
5221700	Uruana - GO	0	59	61	110	367	35	101	0	733	0	8	8,3	15	50,1	4,8	13,8	0
5221601	Uruaçu - GO	10	628	401	597	3043	171	759	10	5619	0,4	11,2	7,1	10,6	54,2	3	13,5	0,2
5221577	Uirapuru - GO	0	16	14	7	86	0	60	0	183	0	8,7	7,7	3,8	47	0	32,8	0
5221551	Turvelândia - GO	15	442	103	88	251	51	178	0	1128	0,5	39,2	9,1	7,8	22,3	4,5	15,8	0
5221502	Turvânia - GO	1	55	33	78	203	14	50	0	434	0	12,7	7,6	18	46,8	3,2	11,5	0
5221452	Trombas - GO	0	3	27	2	15	1	3	0	51	0	5,9	52,9	3,9	29,4	2	5,9	0
5221403	Trindade - GO	47	2068	1884	1751	5950	425	1572	36	13733	1,7	15,1	13,7	12,8	43,3	3,1	11,4	0,3
5221304	Três Ranchos - GO	5	89	92	27	192	11	52	0	468	0,2	19	19,7	5,8	41	2,4	11,1	0
5221197	Terezópolis de Goiás - GO	4	108	95	151	388	27	62	0	835	0,1	12,9	11,4	18,1	46,5	3,2	7,4	0
5221080	Teresina de Goiás - GO	0	67	30	26	141	8	23	1	296	0	22,6	10,1	8,8	47,6	2,7	7,8	0,3
5221007	Taquaral de Goiás - GO	0	141	41	50	229	45	51	0	557	0	25,3	7,4	9	41,1	8,1	9,2	0
5220702	Sítio d'Abadia - GO	0	0	4	2	4	0	0	0	10	0	0	40	20	40	0	0	0
5220686	Simolândia - GO	1	77	44	61	328	10	88	3	612	0	12,6	7,2	10	53,6	1,6	14,4	0,5
5220603	Silvânia - GO	7	371	264	332	886	136	388	0	2384	0,3	15,6	11,1	13,9	37,2	5,7	16,3	0
5220504	Serranópolis - GO	20	484	135	113	347	45	135	0	1279	0,7	37,8	10,6	8,8	27,1	3,5	10,6	0
5220454	Senador Canedo - GO	64	2107	3591	1775	6435	502	1551	42	16067	2,3	13,1	22,4	11	40,1	3,1	9,7	0,3
5220405	São Simão - GO	28	769	499	447	1486	77	491	0	3797	1	20,3	13,1	11,8	39,1	2	12,9	0
5220280	São Patrício - GO	23	481	127	104	374	18	44	0	1171	0,8	41,1	10,8	8,9	31,9	1,5	3,8	0
5220264	São Miguel do Passa Quatro - GO	6	90	49	36	217	25	88	0	511	0,2	17,6	9,6	7	42,5	4,9	17,2	0
