"codigo","municipio","agro","industria","servicos","adm"
1100015,"Alta Floresta D'Oeste",122.737,22.317,88.713,126.380
1100023,"Ariquemes",110.870,359.882,802.141,490.218
1100031,"Cabixi",49.746,4.737,19.847,34.481
1100049,"Cacoal",149.469,193.633,749.690,416.576
1100056,"Cerejeiras",50.357,22.457,127.651,87.588
1100064,"Colorado do Oeste",64.523,27.114,76.789,89.348
1100072,"Corumbiara",97.414,9.438,26.874,47.006
1100080,"Costa Marques",48.665,7.426,34.336,75.831
1100098,"Espigão D'Oeste",98.214,64.320,148.978,143.459
1100106,"Guajará-Mirim",36.456,31.992,284.087,218.725
1100114,"Jaru",141.213,165.009,449.632,261.721
1100122,"Ji-Paraná",120.789,354.327,1.248.416,578.902
1100130,"Machadinho D'Oeste",98.863,36.708,105.161,169.201
1100148,"Nova Brasilândia D'Oeste",67.829,14.363,55.385,101.529
1100155,"Ouro Preto do Oeste",101.098,55.805,217.188,192.162
1100189,"Pimenta Bueno",65.934,146.432,331.861,176.472
1100205,"Porto Velho",358.785,2.851.521,5.266.861,2.502.053
1100254,"Presidente Médici",73.761,34.776,94.066,108.507
1100262,"Rio Crespo",38.935,3.079,9.444,22.591
1100288,"Rolim de Moura",76.229,188.638,384.973,271.608
1100296,"Santa Luzia D'Oeste",50.413,16.663,21.589,42.540
1100304,"Vilhena",85.214,379.533,944.162,452.065
1100320,"São Miguel do Guaporé",100.049,78.350,110.130,114.829
1100338,"Nova Mamoré",118.137,15.827,61.443,125.393
1100346,"Alvorada D'Oeste",64.984,6.921,41.918,82.547
1100379,"Alto Alegre dos Parecis",89.593,13.014,33.147,69.484
1100403,"Alto Paraíso",53.081,18.123,57.859,93.742
1100452,"Buritis",113.794,36.096,127.797,172.924
1100502,"Novo Horizonte do Oeste",42.155,7.215,24.826,49.893
1100601,"Cacaulândia",60.097,2.667,14.234,34.942
1100700,"Campo Novo de Rondônia",83.489,27.130,23.486,69.035
1100809,"Candeias do Jamari",48.252,68.912,71.441,117.096
1100908,"Castanheiras",28.331,2.749,5.437,21.306
1100924,"Chupinguaia",80.337,10.419,33.159,56.743
1100940,"Cujubim",50.900,45.598,46.803,94.504
1101005,"Governador Jorge Teixeira",72.155,3.937,14.959,52.870
1101104,"Itapuã do Oeste",31.445,17.289,26.020,49.038
1101203,"Ministro Andreazza",49.165,15.437,40.138,56.243
1101302,"Mirante da Serra",48.858,9.541,40.013,58.225
1101401,"Monte Negro",68.755,21.953,42.041,76.604
1101435,"Nova União",39.781,2.379,9.461,37.930
1101450,"Parecis",35.988,3.446,9.626,28.569
1101468,"Pimenteiras do Oeste",43.398,3.659,8.736,18.536
1101476,"Primavera de Rondônia",21.219,1.763,6.688,21.666
1101484,"São Felipe D'Oeste",27.602,2.127,8.246,31.717
