"GEOCODIGO","MUNICIPIO","Católica Apostólica Romana","Evangélicas","Espírita","Umbanda e Candomblé","Outras","Sem religião/Não sabe/Não informou"
1100015,"Alta Floresta D'Oeste - RO","59,3","26,9","0,3","0,0","2,2","11,3"
1100023,"Ariquemes - RO","40,5","33,7","0,8","0,0","3,4","21,6"
1100031,"Cabixi - RO","61,1","28,6","0,0","0,0","1,1","9,2"
1100049,"Cacoal - RO","42,7","39,0","0,6","0,0","3,7","14,0"
1100056,"Cerejeiras - RO","59,3","29,9","0,2","0,0","1,9","8,7"
1100064,"Colorado do Oeste - RO","57,7","28,2","0,2","0,0","5,2","8,7"
1100072,"Corumbiara - RO","66,2","23,7","0,1","0,0","1,5","8,5"
1100080,"Costa Marques - RO","63,1","30,4","0,1","0,0","1,2","5,2"
1100098,"Espigão D'Oeste - RO","44,0","41,2","0,1","0,0","1,9","12,8"
1100106,"Guajará-Mirim - RO","57,8","30,3","0,3","0,0","0,9","10,7"
1100114,"Jaru - RO","42,0","38,7","0,3","0,0","2,8","16,2"
1100122,"Ji-Paraná - RO","40,6","39,2","0,5","0,0","4,1","15,6"
1100130,"Machadinho D'Oeste - RO","43,2","33,6","0,7","0,0","3,9","18,6"
1100148,"Nova Brasilândia D'Oeste - RO","49,2","33,7","0,0","0,0","2,2","14,9"
1100155,"Ouro Preto do Oeste - RO","44,9","36,0","0,2","0,0","2,8","16,1"
1100189,"Pimenta Bueno - RO","47,0","34,3","0,4","0,0","3,0","15,3"
1100205,"Porto Velho - RO","48,4","32,3","1,1","0,1","2,7","15,4"
1100254,"Presidente Médici - RO","51,2","32,6","0,3","0,0","3,4","12,6"
1100262,"Rio Crespo - RO","53,0","36,4","0,0","0,0","4,1","6,5"
1100288,"Rolim de Moura - RO","47,6","33,2","0,3","0,0","1,8","17,2"
1100296,"Santa Luzia D'Oeste - RO","56,2","29,8","0,0","0,0","3,1","10,9"
1100304,"Vilhena - RO","47,5","36,0","1,0","0,2","2,3","13,0"
1100320,"São Miguel do Guaporé - RO","54,9","31,6","0,0","0,0","1,2","12,3"
1100338,"Nova Mamoré - RO","46,2","35,1","0,0","0,1","4,2","14,4"
1100346,"Alvorada D'Oeste - RO","52,8","31,2","0,1","0,0","2,1","13,8"
1100379,"Alto Alegre dos Parecis - RO","56,6","27,9","0,0","0,0","2,7","12,8"
1100403,"Alto Paraíso - RO","55,0","26,5","0,2","0,0","6,4","11,9"
1100452,"Buritis - RO","39,7","39,4","0,3","0,0","4,4","16,2"
1100502,"Novo Horizonte do Oeste - RO","50,0","34,1","0,2","0,0","2,3","13,4"
1100601,"Cacaulândia - RO","53,5","28,0","0,0","0,0","2,3","16,2"
1100700,"Campo Novo de Rondônia - RO","38,9","36,7","0,1","0,0","1,3","23,0"
1100809,"Candeias do Jamari - RO","46,9","31,3","0,6","0,1","2,3","18,8"
1100908,"Castanheiras - RO","61,1","22,4","0,0","0,0","2,8","13,7"
1100924,"Chupinguaia - RO","54,5","27,5","0,1","0,0","2,9","15,0"
1100940,"Cujubim - RO","43,2","30,6","0,0","0,0","3,3","22,9"
1101005,"Governador Jorge Teixeira - RO","55,2","27,6","0,2","0,0","2,6","14,4"
1101104,"Itapuã do Oeste - RO","35,3","39,1","0,3","0,0","3,4","22,0"
1101203,"Ministro Andreazza - RO","50,9","33,8","0,0","0,0","2,6","12,7"
1101302,"Mirante da Serra - RO","44,3","34,1","0,0","0,0","4,3","17,3"
1101401,"Monte Negro - RO","45,7","34,3","0,2","0,0","2,8","17,0"
1101435,"Nova União - RO","49,9","31,8","0,0","0,0","3,1","15,2"
1101450,"Parecis - RO","56,3","25,0","0,0","0,0","4,1","14,6"
1101468,"Pimenteiras do Oeste - RO","69,9","22,3","0,0","0,0","0,4","7,4"
1101476,"Primavera de Rondônia - RO","62,8","19,8","0,0","0,0","9,6","7,8"
1101484,"São Felipe D'Oeste - RO","61,4","27,6","0,0","0,0","1,3","9,7"
1101492,"São Francisco do Guaporé - RO","48,0","35,6","0,1","0,2","2,5","13,6"
1101500,"Seringueiras - RO","52,1","35,4","0,0","0,0","1,8","10,7"
1101559,"Teixeirópolis - RO","52,0","26,3","0,1","0,0","4,8","16,8"
1101609,"Theobroma - RO","49,0","34,8","0,1","0,0","3,5","12,6"
1101708,"Urupá - RO","42,3","35,6","0,0","0,0","3,6","18,5"
1101757,"Vale do Anari - RO","39,5","35,6","0,0","0,0","2,7","22,2"
1101807,"Vale do Paraíso - RO","51,8","33,3","0,1","0,0","1,1","13,7"
1200013,"Acrelândia - AC","42,4","36,3","0,3","0,0","1,8","19,2"
1200054,"Assis Brasil - AC","49,3","28,9","0,2","0,0","1,7","19,9"
1200104,"Brasiléia - AC","62,1","26,2","0,5","0,0","1,7","9,5"
1200138,"Bujari - AC","49,7","34,7","0,2","0,2","2,2","13,0"
1200179,"Capixaba - AC","46,7","38,4","0,0","0,0","3,5","11,4"
1200203,"Cruzeiro do Sul - AC","66,2","26,6","0,5","0,0","2,0","4,7"
1200252,"Epitaciolândia - AC","55,3","32,0","0,4","0,1","1,6","10,6"
1200302,"Feijó - AC","67,0","26,2","0,0","0,0","0,8","6,0"
1200328,"Jordão - AC","84,1","11,8","0,6","0,0","1,0","2,5"
1200336,"Mâncio Lima - AC","67,2","27,1","0,0","0,0","1,6","4,1"
1200344,"Manoel Urbano - AC","59,1","28,5","0,0","0,0","0,4","12,1"
