"codigo","0/homem","20/homem","30/homem","40/homem","50/homem","60/homem","0/mulher","20/mulher","30/mulher","40/mulher","50/mulher","60/mulher"
1100015,11,116,40,23,9,4,52,91,32,19,8,1
1100023,39,350,229,128,63,29,122,381,195,92,35,13
1100031,0,18,14,6,4,2,10,17,8,7,1,1
1100049,52,413,219,99,55,37,180,362,207,73,39,14
1100056,7,77,43,18,11,3,32,72,33,15,4,3
1100064,13,79,47,23,15,5,44,86,31,15,4,2
1100072,1,24,16,5,1,2,14,23,8,3,1,0
1100080,2,32,16,8,5,2,15,27,11,8,3,1
1100098,15,111,66,29,14,6,60,89,57,25,5,5
1100106,8,66,54,35,28,9,19,81,59,26,13,2
1100114,35,274,132,67,34,30,145,221,119,54,19,14
1100122,59,573,395,168,98,74,225,555,310,175,71,31
1100130,7,135,100,38,19,14,76,106,78,36,15,2
1100148,9,58,24,13,9,9,35,44,27,7,7,2
1100155,13,151,100,43,24,12,59,147,82,37,15,3
1100189,37,159,65,27,15,5,91,130,55,30,1,1
1100205,120,1829,1466,676,344,154,513,1960,1258,588,207,64
1100254,13,85,31,17,6,7,33,75,30,11,6,4
1100262,4,17,17,8,5,3,12,19,9,11,3,0
1100288,31,275,161,85,25,38,120,276,119,63,28,9
1100296,5,40,24,6,1,2,15,42,12,6,2,1
1100304,22,325,222,109,60,40,112,332,188,89,35,22
1100320,12,73,47,20,11,4,37,76,35,9,8,2
1100338,5,67,40,23,10,6,35,57,37,14,6,2
1100346,7,37,19,8,6,3,19,39,11,6,5,0
1100379,8,49,25,12,6,6,40,33,15,9,7,2
1100403,6,50,36,16,18,6,30,49,26,14,9,4
1100452,24,213,118,53,29,13,140,163,87,35,14,11
1100502,3,30,9,8,4,7,19,19,10,7,1,5
1100601,0,27,9,9,2,1,11,22,8,3,3,1
1100700,6,30,14,3,5,2,22,17,11,7,1,2
1100809,17,55,42,19,14,8,36,52,35,17,9,6
1100908,1,8,5,4,1,1,5,7,6,1,0,1
1100924,5,31,34,7,3,1,20,32,14,11,3,1
1100940,5,44,45,24,10,6,23,46,43,14,7,1
1101005,6,30,12,3,5,3,21,23,7,4,1,3
1101104,2,23,23,16,7,3,11,23,26,10,1,3
1101203,4,37,12,10,1,3,21,25,14,4,2,1
1101302,4,49,23,10,4,1,22,44,13,11,0,1
1101401,14,55,11,14,6,2,41,40,13,5,3,0
1101435,4,29,12,11,5,3,18,28,6,8,2,2
1101450,1,17,5,4,3,0,8,11,7,3,1,0
1101468,0,0,3,0,0,1,0,1,1,1,0,1
1101476,,,,,,,,,,,,
1101484,3,27,7,3,1,0,15,18,5,1,2,0
1101492,6,62,35,12,7,7,36,49,25,12,2,5
1101500,7,40,21,10,5,1,29,30,12,10,3,0
1101559,3,18,14,2,5,2,8,22,8,3,3,0
1101609,3,35,24,12,6,9,25,23,22,10,6,3
1101708,6,50,31,10,4,2,31,35,27,8,2,0
1101757,1,7,7,3,3,2,4,8,4,3,2,2
1101807,4,34,10,7,5,2,23,18,10,6,4,1
1200013,3,67,54,28,8,13,31,64,48,18,7,5
1200054,1,30,15,1,4,0,13,15,16,6,1,0
1200104,5,53,33,17,8,5,24,52,26,13,4,2
1200138,0,0,0,2,0,0,0,0,0,2,0,0
1200179,2,23,20,8,4,0,14,24,12,2,4,1
1200203,12,330,320,130,50,32,77,393,257,103,30,15
1200252,4,31,14,7,7,1,9,28,12,12,2,1
1200302,7,50,29,18,4,5,16,50,28,14,3,3
1200328,0,0,0,0,0,0,0,0,0,0,0,0
1200336,2,27,22,8,5,6,13,25,18,10,2,2
1200344,1,12,14,7,3,4,6,9,13,9,4,0
1200351,1,17,18,2,4,0,8,16,14,4,0,0
1200385,5,64,54,29,23,11,28,58,51,36,9,4
1200393,1,9,9,11,3,1,4,5,13,9,3,0
1200401,72,1012,768,318,116,68,255,1093,656,260,72,18
1200427,3,20,12,6,7,3,4,20,17,7,2,1
1200435,0,8,3,0,0,0,1,6,3,1,0,0
1200450,6,87,57,27,20,5,18,97,52,25,8,1
1200500,6,113,97,45,16,10,40,113,82,37,9,6
1200609,8,104,82,53,25,10,30,116,88,29,17,2
1200708,3,25,31,14,9,2,9,33,27,10,4,1
1200807,4,38,32,32,14,6,26,38,33,18,7,4
1300029,1,18,17,9,1,2,2,26,14,3,1,2
1300060,3,11,7,10,4,1,2,15,11,4,4,0
1300086,0,7,3,0,0,0,2,4,3,1,0,0
1300102,3,12,21,9,9,1,5,15,18,11,4,2
1300144,4,15,8,7,5,4,10,13,10,6,4,0
1300201,1,8,6,4,1,1,0,9,8,3,0,1
1300300,6,60,53,20,14,11,17,68,39,26,8,6
1300409,1,17,20,19,12,3,5,20,20,17,6,4
1300508,2,29,17,8,5,2,6,33,11,5,6,2
1300607,3,23,25,9,8,5,5,27,20,13,5,3
1300631,1,14,24,8,1,1,5,28,13,1,1,1
1300680,0,0,0,0,0,0,0,0,0,0,0,0
1300706,1,17,6,4,4,0,4,11,9,5,3,0
1300805,4,23,23,7,5,3,14,23,16,4,7,1
1300839,0,6,2,1,2,3,3,4,2,1,2,2
1300904,0,17,10,5,0,1,5,15,10,2,1,0
1301001,5,43,51,18,10,6,9,57,47,16,4,0
1301100,7,44,54,16,12,16,20,59,37,12,13,8
1301159,4,48,42,14,8,2,20,50,33,9,3,3
1301209,19,113,85,41,12,10,42,121,73,33,9,2
1301308,2,23,14,4,4,1,6,24,14,3,1,0
1301407,0,26,23,14,3,0,4,29,23,8,2,0
1301506,0,11,20,10,2,2,1,7,27,6,3,1
1301605,1,12,15,20,1,3,1,20,21,5,3,2
1301654,0,28,33,16,16,8,6,33,28,18,13,3
1301704,3,39,31,24,20,3,9,45,38,20,7,1
1301803,0,8,3,2,3,0,1,6,5,3,1,0
1301852,4,19,12,2,1,2,9,13,14,1,2,1
1301902,23,241,205,92,35,29,76,263,158,89,28,11
1301951,0,4,0,2,1,0,0,2,3,1,1,0
1302009,1,10,16,7,1,1,6,10,11,6,3,0
1302108,1,0,0,0,0,0,0,1,0,0,0,0
1302207,3,15,9,10,1,2,4,18,10,4,2,2
1302306,4,17,10,14,4,0,4,24,7,10,4,0
1302405,3,22,23,6,4,4,11,26,16,3,5,1
1302504,9,159,124,59,24,12,57,158,109,39,16,8
1302553,1,22,11,5,2,1,11,17,8,3,2,1
1302603,317,5507,4386,1846,796,342,1210,6016,3889,1513,445,121
1302702,1,39,30,16,8,5,17,34,31,10,7,0
1302801,1,19,16,2,1,0,9,15,11,3,0,1
1302900,0,32,19,18,6,5,8,29,21,13,5,4
1303007,1,12,9,2,2,1,5,9,11,0,2,0
1303106,5,18,17,14,6,2,6,30,15,7,3,1
1303205,1,10,9,7,3,1,0,12,9,9,1,0
1303304,3,16,17,10,3,5,6,18,21,5,4,0
1303403,7,81,81,28,20,8,14,111,63,27,6,4
1303502,3,21,25,8,2,3,6,28,18,7,3,0
1303536,5,41,32,20,9,1,15,42,33,8,9,1
1303569,4,46,42,12,13,8,17,49,34,19,4,2
1303601,0,2,6,4,1,1,1,6,2,5,0,0
1303700,1,1,5,7,1,0,1,3,7,3,1,0
1303809,1,24,19,19,7,3,7,21,26,11,6,2
1303908,5,23,33,13,6,2,10,36,21,10,3,2
1303957,1,12,9,7,2,1,4,14,8,5,1,0
1304005,2,15,8,5,4,2,5,13,9,4,5,0
1304062,5,65,70,32,10,5,25,79,60,16,5,2
1304104,3,26,23,6,1,1,8,25,22,4,0,1
1304203,17,152,107,41,24,10,63,144,85,41,15,3
1304237,,,,,,,,,,,,
1304260,,,,,,,,,,,,
1304302,1,29,29,7,6,1,3,38,18,7,6,1
1304401,1,17,22,9,6,3,5,24,21,4,4,0
1400027,,,,,,,,,,,,
1400050,,,,,,,,,,,,
1400100,47,777,664,304,141,64,185,917,556,232,83,23
1400159,,,,,,,,,,,,
1400175,,,,,,,,,,,,
1400209,3,34,30,18,8,7,12,37,22,18,6,5
1400233,,,,,,,,,,,,
1400282,,,,,,,,,,,,
1400308,5,28,39,15,9,4,13,40,28,11,8,0
1400407,,,,,,,,,,,,
1400456,,,,,,,,,,,,
1400472,8,70,63,26,14,9,32,77,51,19,10,1
1400506,,,,,,,,,,,,
1400605,10,82,43,27,10,9,37,79,36,16,11,2
1400704,,,,,,,,,,,,
1500107,21,356,253,89,31,24,77,373,208,85,22,9
1500131,7,60,49,19,16,8,31,63,40,12,9,4
1500206,3,28,18,9,6,3,12,33,9,9,1,3
1500305,3,25,15,9,4,5,16,26,8,4,4,3
1500347,8,32,22,16,3,4,19,30,20,11,2,3
1500404,6,47,16,9,6,4,25,35,18,9,1,0
1500503,0,12,7,5,1,3,2,12,11,2,0,1
1500602,18,329,236,90,48,34,105,360,194,55,32,9
1500701,3,30,31,7,6,1,20,29,19,8,2,0
1500800,38,573,521,254,113,74,118,678,470,207,73,27
1500859,,,,,,,,,,,,
1500909,3,37,46,25,16,8,18,46,40,26,5,0
1500958,2,7,4,4,2,3,6,7,6,1,1,1
1501006,1,10,6,4,4,1,6,6,8,4,2,0
1501105,1,16,4,2,1,0,7,12,1,2,1,1
1501204,2,24,20,5,4,0,13,27,9,5,1,0
1501253,,,,,,,,,,,,
1501303,25,429,308,135,66,30,109,428,273,138,37,8
1501402,98,2854,2740,1094,442,199,404,3429,2421,845,250,78
1501451,2,32,14,9,4,3,15,20,21,3,1,4
1501501,15,252,205,111,50,32,71,250,205,107,24,8
1501576,0,34,17,7,5,2,13,29,12,10,0,1
1501600,0,27,17,8,2,1,4,26,17,7,1,0
1501709,8,183,157,61,34,27,45,198,142,50,24,11
1501725,1,40,24,9,6,3,24,28,16,11,2,2
